identidade,idempenho,data,numnaturezaemp,organograma
17700,"21.827.382,00",2024-12-30,"31.901.101.000.000,00",2.012
17700,"16.341.948,00",2024-12-04,"33.903.039.000.000,00",2.016
17700,"16.341.946,00",2024-12-04,"33.903.919.000.000,00",2.016
17700,"16.341.934,00",2024-12-04,"33.903.914.000.000,00",2.021
17700,"16.341.932,00",2024-12-04,"33.903.999.000.000,00",2.009
17700,"16.341.927,00",2024-12-04,"33.903.988.000.000,00",2.005
2.713,"16.397.019,00",2024-12-04,"31.901.302.000.000,00",1.001
2.713,"16.397.020,00",2024-12-04,"31.901.302.000.000,00",1.001
2.713,"16.397.029,00",2024-12-04,"31.901.302.000.000,00",1.001
2.713,"16.397.001,00",2024-12-04,"31.909.499.000.000,00",1.001
2.713,"16.397.003,00",2024-12-04,"33.904.601.000.000,00",1.001
2.713,"16.397.005,00",2024-12-04,"31.901.101.000.000,00",1.001
2.713,"16.396.964,00",2024-12-04,"31.901.143.000.000,00",1.001
2.713,"16.396.966,00",2024-12-04,"31.901.144.000.000,00",1.001
2.713,"16.396.967,00",2024-12-04,"31.909.499.000.000,00",1.001
2.713,"16.396.970,00",2024-12-04,"33.904.601.000.000,00",1.001
2.713,"16.396.971,00",2024-12-04,"31.901.101.000.000,00",1.001
2.713,"16.341.328,00",2024-12-04,"33.901.414.000.000,00",1.001
2.856,"16.392.937,00",2024-12-04,"33.903.916.000.000,00",4.001
2.858,"16.392.969,00",2024-12-04,"44.905.212.000.000,00",6.001
2.863,"16.345.520,00",2024-12-04,"33.903.981.000.000,00",12.001
2.862,"16.387.539,00",2024-12-04,"33.903.039.000.000,00",10.001
2.862,"16.387.541,00",2024-12-04,"33.903.919.000.000,00",10.001
17700,"16.341.959,00",2024-12-04,"33.903.051.000.000,00",2.016
17700,"16.341.968,00",2024-12-04,"33.903.301.000.000,00",2.018
17700,"16.342.440,00",2024-12-04,"33.903.017.000.000,00",2.012
17700,"16.397.842,00",2024-12-04,"33.901.414.000.000,00",2.012
17700,"16.404.708,00",2024-12-04,"33.903.910.000.000,00",2.011
17700,"16.398.452,00",2024-12-04,"33.904.710.000.000,00",2.012
17700,"16.398.323,00",2024-12-04,"33.909.115.000.000,00",2.018
17700,"16.398.110,00",2024-12-04,"33.901.414.000.000,00",2.017
17700,"16.397.805,00",2024-12-04,"33.901.414.000.000,00",2.012
17700,"16.342.550,00",2024-12-04,"44.905.230.000.000,00",2.012
17700,"16.397.655,00",2024-12-04,"33.901.414.000.000,00",2.012
17700,"16.396.676,00",2024-12-04,"33.903.943.000.000,00",2.001
17700,"16.387.336,00",2024-12-04,"33.903.999.000.000,00",2.016
17700,"16.387.331,00",2024-12-04,"44.905.191.000.000,00",2.016
17700,"16.387.327,00",2024-12-04,"33.903.606.000.000,00",2.012
17700,"16.387.323,00",2024-12-04,"33.903.023.000.000,00",2.012
17700,"16.387.316,00",2024-12-04,"33.903.024.000.000,00",2.012
17700,"16.346.503,00",2024-12-04,"33.903.999.000.000,00",2.011
17700,"16.346.469,00",2024-12-04,"33.903.999.000.000,00",2.011
17700,"16.346.333,00",2024-12-04,"33.901.414.000.000,00",2.007
17700,"16.346.328,00",2024-12-04,"33.901.414.000.000,00",2.007
17700,"16.346.321,00",2024-12-04,"33.901.414.000.000,00",2.007
17700,"16.342.569,00",2024-12-04,"44.905.230.000.000,00",2.012
17700,"17.594.516,00",2024-12-06,"33.901.414.000.000,00",2.012
17700,"17.594.282,00",2024-12-06,"33.901.414.000.000,00",2.018
17700,"17.594.232,00",2024-12-06,"33.901.414.000.000,00",2.018
17700,"17.594.202,00",2024-12-06,"31.901.101.000.000,00",2.012
17700,"17.590.865,00",2024-12-06,"31.901.101.000.000,00",2.012
17700,"17.590.652,00",2024-12-06,"33.904.601.000.000,00",2.012
17700,"17.590.615,00",2024-12-06,"31.909.499.000.000,00",2.012
17700,"17.590.209,00",2024-12-06,"31.901.101.000.000,00",2.012
17700,"17.589.915,00",2024-12-06,"33.904.601.000.000,00",2.011
17700,"17.589.700,00",2024-12-06,"31.909.499.000.000,00",2.011
17700,"17.589.223,00",2024-12-06,"31.901.101.000.000,00",2.011
17700,"17.589.009,00",2024-12-06,"33.904.601.000.000,00",2.008
17700,"17.588.965,00",2024-12-06,"31.909.499.000.000,00",2.008
17700,"17.588.909,00",2024-12-06,"31.901.101.000.000,00",2.008
17700,"17.586.361,00",2024-12-06,"33.904.710.000.000,00",2.021
2.857,"17.609.296,00",2024-12-06,"31.901.302.000.000,00",5.001
2.857,"17.609.282,00",2024-12-06,"31.911.303.000.000,00",5.001
2.857,"17.609.263,00",2024-12-06,"33.904.601.000.000,00",5.001
2.857,"17.609.231,00",2024-12-06,"31.909.499.000.000,00",5.001
2.857,"17.609.117,00",2024-12-06,"31.901.101.000.000,00",5.001
2.857,"17.588.333,00",2024-12-06,"33.901.414.000.000,00",5.001
2.857,"17.588.332,00",2024-12-06,"33.901.414.000.000,00",5.001
2.857,"17.588.329,00",2024-12-06,"33.901.414.000.000,00",5.001
2.857,"17.588.328,00",2024-12-06,"33.901.414.000.000,00",5.001
2.857,"17.588.326,00",2024-12-06,"33.901.414.000.000,00",5.001
2.857,"17.588.323,00",2024-12-06,"33.901.414.000.000,00",5.001
2.857,"17.588.315,00",2024-12-06,"33.901.414.000.000,00",5.001
2.857,"17.588.307,00",2024-12-06,"33.901.414.000.000,00",5.001
2.857,"17.588.304,00",2024-12-06,"33.901.414.000.000,00",5.001
2.857,"17.588.295,00",2024-12-06,"33.901.414.000.000,00",5.001
17700,"17.594.507,00",2024-12-06,"33.904.601.000.000,00",2.012
17700,"17.594.551,00",2024-12-06,"33.901.414.000.000,00",2.012
17700,"17.594.644,00",2024-12-06,"33.901.414.000.000,00",2.014
17700,"17.602.487,00",2024-12-06,"33.901.414.000.000,00",2.013
17700,"17.602.473,00",2024-12-06,"33.901.414.000.000,00",2.013
17700,"17.595.222,00",2024-12-06,"33.904.601.000.000,00",2.017
17700,"17.595.181,00",2024-12-06,"31.909.499.000.000,00",2.017
17700,"17.595.146,00",2024-12-06,"31.901.101.000.000,00",2.017
17700,"17.594.792,00",2024-12-06,"33.904.601.000.000,00",2.012
17700,"17.594.758,00",2024-12-06,"31.909.499.000.000,00",2.012
17700,"17.594.657,00",2024-12-06,"31.901.101.000.000,00",2.012
2.857,"17.588.282,00",2024-12-06,"33.901.414.000.000,00",5.001
2.857,"17.588.242,00",2024-12-06,"33.901.414.000.000,00",5.001
2.857,"17.588.239,00",2024-12-06,"33.901.414.000.000,00",5.001
2.857,"17.588.237,00",2024-12-06,"33.901.414.000.000,00",5.001
2.856,"17.582.561,00",2024-12-06,"33.903.099.000.000,00",4.001
2.857,"17.588.235,00",2024-12-06,"33.901.414.000.000,00",5.001
2.857,"17.588.231,00",2024-12-06,"33.901.414.000.000,00",5.001
2.857,"17.588.217,00",2024-12-06,"33.901.414.000.000,00",5.001
2.857,"17.588.212,00",2024-12-06,"33.901.414.000.000,00",5.001
2.857,"17.588.210,00",2024-12-06,"33.901.414.000.000,00",5.001
2.857,"17.588.184,00",2024-12-06,"33.901.414.000.000,00",5.001
2.857,"17.588.180,00",2024-12-06,"33.901.414.000.000,00",5.001
2.857,"17.588.070,00",2024-12-06,"33.901.414.000.000,00",5.001
2.857,"17.588.032,00",2024-12-06,"33.901.414.000.000,00",5.001
2.857,"17.587.953,00",2024-12-06,"33.901.414.000.000,00",5.001
2.713,"17.589.784,00",2024-12-06,"31.901.101.000.000,00",1.001
2.856,"17.585.222,00",2024-12-06,"33.903.099.000.000,00",4.001
2.856,"17.583.486,00",2024-12-06,"33.903.099.000.000,00",4.001
2.861,"17.632.529,00",2024-12-06,"33.903.022.000.000,00",9.001
2.861,"17.632.499,00",2024-12-06,"33.903.007.000.000,00",9.001
2.861,"17.592.161,00",2024-12-06,"31.901.302.000.000,00",9.001
2.861,"17.592.021,00",2024-12-06,"33.904.601.000.000,00",9.001
2.861,"17.591.809,00",2024-12-06,"31.909.499.000.000,00",9.001
2.861,"17.591.635,00",2024-12-06,"31.901.101.000.000,00",9.001
17700,"14.969.312,00",2024-12-01,"33.903.975.000.000,00",2.016
17700,"14.950.645,00",2024-12-01,"33.904.710.000.000,00",2.02
17700,"14.949.788,00",2024-12-01,"33.903.948.000.000,00",2.007
17700,"14.949.621,00",2024-12-01,"33.904.710.000.000,00",2.013
17700,"14.949.142,00",2024-12-01,"33.904.710.000.000,00",2.013
